Algoritmo|Cenario|Trocas|Comparacoes|Tempo
quick_time|vetor1000-1|6184|30566|0.0009968280792236328
quick_time|vetor1000-2|6240|29636|0.000997781753540039
quick_time|vetor1000-3|6276|30792|0.0009975433349609375
merge_time|vetor1000-1|262888|6814|0.0019888877868652344
merge_time|vetor1000-2|275257|6664|0.0009965896606445312
merge_time|vetor1000-3|168028|6145|0.0019948482513427734
selection_time|vetor1000-1|2000|499500|0.022936105728149414
selection_time|vetor1000-2|2000|499500|0.021969079971313477
selection_time|vetor1000-3|2000|499500|0.02193903923034668
insertion_time|vetor1000-1|995|249082|0.0009970664978027344
insertion_time|vetor1000-2|992|250693|0.0019948482513427734
insertion_time|vetor1000-3|993|254078|0.002991914749145508
index_time|vetor1000-1|0|0|0.0010080337524414062
index_time|vetor1000-2|0|0|0.0010116100311279297
index_time|vetor1000-3|0|0|0.0009777545928955078
